"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1081","test_hotel_list","test","Mon Apr 14 17:00:44 GMT 2025","passed","Mon Apr 14 17:00:45 GMT 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","1596","Hootel Login","test","Mon Apr 14 17:00:40 GMT 2025","passed","Mon Apr 14 17:00:42 GMT 2025","TestHootel","test_hootel","",""
